title;price;place a;place b;place c;size;lat;long
Stan 70m2 Zvezdara;650,00;Beograd ;Opština Zvezdara ;Cvetkova pijaca ;"70";44.7929494;20.5037812
Izdajem stan na Vračaru;1.200,00;Beograd ;Opština Vračar ;Kalenić pijaca ;"58";44.8001747;20.475769
Trosoban stan, Zvezdara;900,00;Beograd ;Opština Zvezdara ;Vukov Spomenik ;"70";44.8046413;20.4832729
Stan za izdavanje 43, C.G. , kablovska, internet;400,00;Beograd ;Opština Rakovica ;Miljakovac ;"43";44.7470721;20.4518071
Dvosoban stan, Zemunske kapije;650,00;Beograd ;Opština Zemun ;Gornji grad ;"40";46.2961712;14.8062347
Novi Beograd,Extra povoljno,Bulevar Zorana Đinđića;500,00;Beograd ;Opština Novi Beograd ;Blok 34 (Carina - Studentski grad);"38";44.8251222;20.3993279
Reprezentativan i suncan pp sa pogledom na Bulevar;700,00;Beograd ;Opština Zvezdara ;Lipov lad ;"60";44.7953694;20.4940689
Centar - Beograd Na Vodi BW ID#51584;1.300,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"55";44.80488280000001;20.448043
Novi Beograd - A Blok ID#51858;1.100,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"50";44.8061288;20.4015421
Stan za izdavanje kod Djeram pijace ID#204941;700,00;Beograd ;Opština Zvezdara ;Đeram pijaca ;"64";44.80133319999999;20.4872266
Stan za izdavanje kod Liona ID#304471;1.000,00;Beograd ;Opština Zvezdara ;Lion ;"98";null;null
Luksuzan stan za izdavanje Topčidarsko brdo ID#306;900,00;Beograd ;Opština Savski venac ;Topčider ;"50";44.7789917;20.4393344
Ruzveltova, TC Zira, Lux;650,00;Beograd ;Opština Palilula ;Ruzveltova ;"36";44.8068906;20.4803233
Centar - Beograd Na Vodi BW ID#51856;2.300,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"88";44.80488280000001;20.448043
Centar - Beograd Na Vodi BW ID#51857;1.000,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"30";44.80488280000001;20.448043
Blok 21,4-soban,komforan,useljiv ID#13512;1.000,00;Beograd ;Opština Novi Beograd ;Blok 21;"100";44.8145051;20.4303868
Sakura;1.400,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"90";44.8061288;20.4015421
